customer_id,first_name,last_name,email,country
84,Teresa,Clark,teresa.clark21@hotmail.com,Australia
85,Donna,Combs,donna.combs9@yahoo.com,Gibraltar
86,Hannah,Garcia,hannah.garcia52@yahoo.com,Greece
87,Linda,Smith,linda.smith45@hotmail.com,Ethiopia
88,Rebecca,Howe,rebecca.howe27@yahoo.com,Moldova
89,Teresa,Drake,teresa.drake27@hotmail.com,Saint Barthelemy
90,Brooke,Sparks,brooke.sparks24@yahoo.com,Fiji
91,Natasha,Brown,natasha.brown98@hotmail.com,Poland
92,Kaitlin,Lane,kaitlin.lane61@hotmail.com,Iceland
93,John,Brown,john.brown44@gmail.com,Hong Kong
94,Michael,Aguirre,michael.aguirre69@hotmail.com,Albania
95,Leah,Henderson,leah.henderson17@yahoo.com,Ecuador
96,Cameron,Webb,cameron.webb44@gmail.com,Kuwait
97,Cassie,Snyder,cassie.snyder55@hotmail.com,Myanmar
98,John,Berry,john.berry56@gmail.com,British Indian Ocean Territory (Chagos Archipelago)
99,Jackson,Johnson,jackson.johnson95@gmail.com,American Samoa
100,Anna,Mullins,anna.mullins15@yahoo.com,Austria
